,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Windspeed
79,Feuchtwangen,90,DE,1515298800,100,49.1679,10.3313,39.2,9.17
80,Marawi,56,PH,1515300178,92,8.0035,124.2866,77.07,2.73
81,Zhezkazgan,0,KZ,1515297600,70,47.8043,67.7144,1.4,15.66
82,Carutapera,92,BR,1515300179,88,-1.2017,-46.0206,77.57,6.53
83,Peniche,20,PT,1515299400,75,39.3566,-9.3813,46.4,6.93
84,Souillac,92,FR,1515299400,87,45.6006,-0.6,46.4,13.87
85,Muriti,92,TZ,1515300183,100,-1.9913,32.931,73.25,3.96
86,Hithadhoo,0,MV,1515300183,100,-0.6,73.0833,82.7,14.47
87,Srivardhan,0,IN,1515300184,68,18.0333,73.0167,78.56,4.52
88,Marrakesh,75,MA,1515299400,87,31.626,-7.9887,44.6,17.22
89,Birjand,40,IR,1515297600,32,32.8636,59.2175,37.4,6.93
90,Ponferrada,92,ES,1515300185,85,42.5454,-6.5939,34.46,6.98
91,Acolla,100,PE,1515300186,100,-11.7315,-75.5465,36.26,3.4
92,Faro,0,PT,1515297600,75,37.0163,-7.9352,44.6,8.05
93,Chipinge,0,ZW,1515300187,58,-20.189,32.6194,76.89,3.62
94,Taltal,44,CL,1515300188,100,-25.408,-70.4859,52.37,2.17
95,Lienz,64,AT,1515300188,89,46.8299,12.7681,21.77,1.39
96,Rubiataba,92,BR,1515300189,98,-15.163,-49.8006,66.81,2.95
97,Musoma,88,TZ,1515300189,100,-1.4999,33.8083,66.05,5.19
98,Vondrozo,76,MG,1515300190,92,-22.8204,47.321,79.86,5.19
99,Victoria,75,BN,1515299400,83,5.2785,115.2423,86,4.7
100,Walvis Bay,80,NA,1515300192,100,-22.9544,14.5075,64.52,7.76
101,Sovetskiy,88,RU,1515300192,87,56.763,48.4743,17.45,13.69
102,Umba,88,RU,1515300194,97,66.6871,34.3429,28.52,2.95
103,Saint Anthony,90,US,1515297180,100,43.9663,-111.6822,33.8,3.18
104,Torbay,90,CA,1515299940,79,47.6577,-52.727,19.4,20.8
105,Muyezerskiy,92,RU,1515300196,78,63.9333,31.65,25.32,8.77
106,Mangai,92,CD,1515300197,99,-4.0731,19.5888,70.23,2.62
107,Rocha,0,UY,1515300197,82,-34.4811,-54.3366,48.99,3.06
108,Necochea,32,AR,1515300199,81,-38.5473,-58.7368,56.6,3.4
109,Cockburn Town,92,TC,1515300199,100,21.4612,-71.1419,72.48,25.1
110,Tabuk,0,PH,1515299975,74,17.4136,121.444,78.24,1.72
